symbol,side,entry_time,entry_price,exit_time,exit_price,reason,pnl,label
BTC/USDT,LONG,2025-07-17 22:05:00,120182.4,2025-07-18 23:05:00,117543.8,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.021954961791410318,0
BTC/USDT,LONG,2025-07-17 22:10:00,120432.4,2025-07-18 23:10:00,117645.2,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.02314327373696777,0
BTC/USDT,LONG,2025-07-17 22:15:00,120567.8,2025-07-18 23:15:00,117812.1,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.02285601960058985,0
BTC/USDT,LONG,2025-07-17 22:20:00,120147.6,2025-07-18 23:20:00,117831.4,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.019277954782284553,0
BTC/USDT,LONG,2025-07-17 22:25:00,120077.6,2025-07-18 23:25:00,117808.5,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.01889694664117209,0
BTC/USDT,LONG,2025-07-17 22:30:00,120184.0,2025-07-18 23:30:00,117866.7,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.01928126872129404,0
BTC/USDT,LONG,2025-07-17 22:35:00,120150.1,2025-07-18 23:35:00,117811.7,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.019462322544883514,0
BTC/USDT,LONG,2025-07-17 22:40:00,120162.0,2025-07-18 23:40:00,117840.0,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.01932391271783093,0
BTC/USDT,LONG,2025-07-17 22:45:00,120042.3,2025-07-18 23:45:00,117935.0,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.017554645320857754,0
BTC/USDT,LONG,2025-07-17 22:50:00,119600.0,2025-07-18 23:50:00,117864.4,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.014511705685618779,0
BTC/USDT,LONG,2025-07-17 22:55:00,119767.8,2025-07-18 23:55:00,117896.4,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.01562523482939495,0
BTC/USDT,LONG,2025-07-17 23:00:00,119786.8,2025-07-19 00:00:00,117892.2,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.015816433864165383,0
BTC/USDT,LONG,2025-07-17 23:05:00,119767.1,2025-07-19 00:05:00,117831.1,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.016164706334210313,0
BTC/USDT,LONG,2025-07-17 23:10:00,119711.0,2025-07-19 00:10:00,117907.9,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.015062107909883016,0
BTC/USDT,LONG,2025-07-17 23:15:00,119473.7,2025-07-19 00:15:00,117863.9,NON_IDEAL_LONG_LOSS_OR_FLAT,-0.013474095135582165,0
